"country_code","name","year","age","popM","popF","pop"
296,"Kiribati",1950,67,0.089,0.106,0.195
296,"Kiribati",1950,68,0.085,0.103,0.188
296,"Kiribati",1950,69,0.082,0.099,0.181
296,"Kiribati",1950,70,0.077,0.095,0.172
296,"Kiribati",1950,71,0.073,0.091,0.164
296,"Kiribati",1950,72,0.068,0.086,0.154
296,"Kiribati",1950,73,0.063,0.082,0.145
296,"Kiribati",1950,74,0.059,0.076,0.135
296,"Kiribati",1950,75,0.054,0.071,0.125
296,"Kiribati",1950,76,0.049,0.065,0.114
296,"Kiribati",1950,77,0.044,0.06,0.104
296,"Kiribati",1950,78,0.039,0.054,0.093
296,"Kiribati",1950,79,0.035,0.048,0.083
296,"Kiribati",1950,80,0.03,0.043,0.073
296,"Kiribati",1950,81,0.025,0.038,0.063
296,"Kiribati",1950,82,0.022,0.032,0.054
296,"Kiribati",1950,83,0.018,0.028,0.046
296,"Kiribati",1950,84,0.015,0.023,0.038
296,"Kiribati",1950,85,0.012,0.019,0.031
296,"Kiribati",1950,86,0.009,0.015,0.024
296,"Kiribati",1950,87,0.008,0.013,0.021
296,"Kiribati",1950,88,0.006,0.01,0.016
296,"Kiribati",1950,89,0.004,0.008,0.012
296,"Kiribati",1950,90,0.003,0.006,0.009
296,"Kiribati",1950,91,0.002,0.004,0.006
296,"Kiribati",1950,92,0.001,0.003,0.004
296,"Kiribati",1950,93,0.001,0.002,0.003
296,"Kiribati",1950,94,0.001,0.001,0.002
296,"Kiribati",1950,95,0.001,0.001,0.002
296,"Kiribati",1950,96,0,0.001,0.001
296,"Kiribati",1950,97,0,0.001,0.001
296,"Kiribati",1950,98,0,0,0
296,"Kiribati",1950,99,0,0,0
296,"Kiribati",1950,100,0,0,0
296,"Kiribati",1951,0,0.778,0.74,1.518
296,"Kiribati",1951,1,0.703,0.672,1.375
296,"Kiribati",1951,2,0.668,0.639,1.307
296,"Kiribati",1951,3,0.606,0.599,1.205
296,"Kiribati",1951,4,0.544,0.549,1.093
296,"Kiribati",1951,5,0.509,0.52,1.029
296,"Kiribati",1951,6,0.479,0.496,0.975
296,"Kiribati",1951,7,0.453,0.476,0.929
296,"Kiribati",1951,8,0.43,0.457,0.887
296,"Kiribati",1951,9,0.409,0.44,0.849
296,"Kiribati",1951,10,0.391,0.426,0.817
296,"Kiribati",1951,11,0.377,0.412,0.789
296,"Kiribati",1951,12,0.364,0.4,0.764
296,"Kiribati",1951,13,0.353,0.388,0.741
296,"Kiribati",1951,14,0.345,0.378,0.723
296,"Kiribati",1951,15,0.338,0.37,0.708
296,"Kiribati",1951,16,0.334,0.362,0.696
296,"Kiribati",1951,17,0.332,0.355,0.687
296,"Kiribati",1951,18,0.331,0.35,0.681
296,"Kiribati",1951,19,0.33,0.346,0.676
296,"Kiribati",1951,20,0.33,0.341,0.671
296,"Kiribati",1951,21,0.328,0.335,0.663
296,"Kiribati",1951,22,0.325,0.329,0.654
296,"Kiribati",1951,23,0.32,0.321,0.641
296,"Kiribati",1951,24,0.315,0.313,0.628
296,"Kiribati",1951,25,0.307,0.304,0.611
296,"Kiribati",1951,26,0.299,0.294,0.593
296,"Kiribati",1951,27,0.29,0.283,0.573
296,"Kiribati",1951,28,0.278,0.271,0.549
296,"Kiribati",1951,29,0.266,0.26,0.526
296,"Kiribati",1951,30,0.255,0.25,0.505
296,"Kiribati",1951,31,0.245,0.242,0.487
296,"Kiribati",1951,32,0.236,0.237,0.473
296,"Kiribati",1951,33,0.229,0.233,0.462
296,"Kiribati",1951,34,0.223,0.23,0.453
296,"Kiribati",1951,35,0.217,0.227,0.444
296,"Kiribati",1951,36,0.211,0.225,0.436
