name,year,age,mxB
Kiribati,2027,22,0.00184136
Kiribati,2027,23,0.00188675
Kiribati,2027,24,0.00191531
Kiribati,2027,25,0.00193457
Kiribati,2027,26,0.0019521
Kiribati,2027,27,0.00197474
Kiribati,2027,28,0.00200825
Kiribati,2027,29,0.00205551
Kiribati,2027,30,0.00211633
Kiribati,2027,31,0.00219077
Kiribati,2027,32,0.00227791
Kiribati,2027,33,0.00237677
Kiribati,2027,34,0.00248694
Kiribati,2027,35,0.00260896
Kiribati,2027,36,0.00274453
Kiribati,2027,37,0.00289412
Kiribati,2027,38,0.00306008
Kiribati,2027,39,0.00324579
Kiribati,2027,40,0.00345379
Kiribati,2027,41,0.00368694
Kiribati,2027,42,0.00394886
Kiribati,2027,43,0.00424307
Kiribati,2027,44,0.00457115
Kiribati,2027,45,0.00493715
Kiribati,2027,46,0.00534097
Kiribati,2027,47,0.00578478
Kiribati,2027,48,0.00626888
Kiribati,2027,49,0.00680035
Kiribati,2027,50,0.00738495
Kiribati,2027,51,0.0080071
Kiribati,2027,52,0.00868027
Kiribati,2027,53,0.00941466
Kiribati,2027,54,0.01021489
Kiribati,2027,55,0.01109483
Kiribati,2027,56,0.01206689
Kiribati,2027,57,0.0131551
Kiribati,2027,58,0.01436941
Kiribati,2027,59,0.0157229
Kiribati,2027,60,0.01720671
Kiribati,2027,61,0.01881426
Kiribati,2027,62,0.02057539
Kiribati,2027,63,0.02249791
Kiribati,2027,64,0.02461388
Kiribati,2027,65,0.02697529
Kiribati,2027,66,0.0295841
Kiribati,2027,67,0.03249409
Kiribati,2027,68,0.03575327
Kiribati,2027,69,0.03939501
Kiribati,2027,70,0.04345549
Kiribati,2027,71,0.04786808
Kiribati,2027,72,0.05269938
Kiribati,2027,73,0.05806322
Kiribati,2027,74,0.06397489
Kiribati,2027,75,0.07047818
Kiribati,2027,76,0.07774419
Kiribati,2027,77,0.08594024
Kiribati,2027,78,0.09507114
Kiribati,2027,79,0.10512731
Kiribati,2027,80,0.11620941
Kiribati,2027,81,0.12833701
Kiribati,2027,82,0.14146662
Kiribati,2027,83,0.15559743
Kiribati,2027,84,0.170646
Kiribati,2027,85,0.1866249
Kiribati,2027,86,0.20353074
Kiribati,2027,87,0.22155415
Kiribati,2027,88,0.24085464
Kiribati,2027,89,0.26120812
Kiribati,2027,90,0.28279913
Kiribati,2027,91,0.30574548
Kiribati,2027,92,0.32938597
Kiribati,2027,93,0.35400389
Kiribati,2027,94,0.37924302
Kiribati,2027,95,0.40476197
Kiribati,2027,96,0.43200928
Kiribati,2027,97,0.45977307
Kiribati,2027,98,0.48707117
Kiribati,2027,99,0.51459416
Kiribati,2027,100,0.5744455
Kiribati,2028,0,0.04106951
Kiribati,2028,1,0.0041105
Kiribati,2028,2,0.00303498
Kiribati,2028,3,0.00225909
Kiribati,2028,4,0.00170887
Kiribati,2028,5,0.00132516
Kiribati,2028,6,0.00106334
Kiribati,2028,7,0.0008898
Kiribati,2028,8,0.0007799
Kiribati,2028,9,0.00071762
Kiribati,2028,10,0.00069225
Kiribati,2028,11,0.00069855
Kiribati,2028,12,0.00073339
Kiribati,2028,13,0.00079579
Kiribati,2028,14,0.00088437
Kiribati,2028,15,0.0009969
Kiribati,2028,16,0.00112836
Kiribati,2028,17,0.00126986
Kiribati,2028,18,0.0014115
Kiribati,2028,19,0.00154255
Kiribati,2028,20,0.00165597
Kiribati,2028,21,0.00174659
Kiribati,2028,22,0.00181377
Kiribati,2028,23,0.00185926
Kiribati,2028,24,0.00188835
Kiribati,2028,25,0.00190832
Kiribati,2028,26,0.00192737
Kiribati,2028,27,0.00195137
Kiribati,2028,28,0.00198465
Kiribati,2028,29,0.00203144
Kiribati,2028,30,0.00209213
Kiribati,2028,31,0.00216637
Kiribati,2028,32,0.00225276
Kiribati,2028,33,0.00235091
Kiribati,2028,34,0.00246068
Kiribati,2028,35,0.00258208
Kiribati,2028,36,0.00271685
Kiribati,2028,37,0.00286638
Kiribati,2028,38,0.00303182
Kiribati,2028,39,0.00321596
Kiribati,2028,40,0.00342273
Kiribati,2028,41,0.00365503
Kiribati,2028,42,0.00391565
Kiribati,2028,43,0.00420835
Kiribati,2028,44,0.00453617
Kiribati,2028,45,0.0049001
Kiribati,2028,46,0.00530318
Kiribati,2028,47,0.00574614
Kiribati,2028,48,0.00623092
Kiribati,2028,49,0.00675794
Kiribati,2028,50,0.00733576
Kiribati,2028,51,0.00796932
Kiribati,2028,52,0.0086454
Kiribati,2028,53,0.00937806
Kiribati,2028,54,0.01017961
Kiribati,2028,55,0.01105609
Kiribati,2028,56,0.01201954
Kiribati,2028,57,0.01309056
Kiribati,2028,58,0.01429131
Kiribati,2028,59,0.01563069
Kiribati,2028,60,0.01712103
Kiribati,2028,61,0.01874509
Kiribati,2028,62,0.02050701
Kiribati,2028,63,0.02243723
Kiribati,2028,64,0.02454936
Kiribati,2028,65,0.02688542
Kiribati,2028,66,0.02949808
Kiribati,2028,67,0.03240512
Kiribati,2028,68,0.03565549
Kiribati,2028,69,0.03929142
