name,year,age,mig
Kiribati,2026,64,-0.002
Kiribati,2026,65,-0.002
Kiribati,2026,66,-0.002
Kiribati,2026,67,-0.002
Kiribati,2026,68,-0.002
Kiribati,2026,69,-0.002
Kiribati,2026,70,-0.002
Kiribati,2026,71,-0.002
Kiribati,2026,72,-0.002
Kiribati,2026,73,-0.002
Kiribati,2026,74,-0.002
Kiribati,2026,75,-0.002
Kiribati,2026,76,0
Kiribati,2026,77,0
Kiribati,2026,78,0
Kiribati,2026,79,0
Kiribati,2026,80,0
Kiribati,2026,81,0
Kiribati,2026,82,0
Kiribati,2026,83,0
Kiribati,2026,84,0
Kiribati,2026,85,0
Kiribati,2026,86,0
Kiribati,2026,87,0
Kiribati,2026,88,0
Kiribati,2026,89,0
Kiribati,2026,90,0
Kiribati,2026,91,0
Kiribati,2026,92,0
Kiribati,2026,93,0
Kiribati,2026,94,0
Kiribati,2026,95,0
Kiribati,2026,96,0
Kiribati,2026,97,0
Kiribati,2026,98,0
Kiribati,2026,99,0
Kiribati,2026,100,0
Kiribati,2027,0,-0.011
Kiribati,2027,1,-0.009
Kiribati,2027,2,-0.009
Kiribati,2027,3,-0.008
Kiribati,2027,4,-0.007
Kiribati,2027,5,-0.007
Kiribati,2027,6,-0.006
Kiribati,2027,7,-0.006
Kiribati,2027,8,-0.005
Kiribati,2027,9,-0.005
Kiribati,2027,10,-0.004
Kiribati,2027,11,-0.004
Kiribati,2027,12,-0.004
Kiribati,2027,13,-0.004
Kiribati,2027,14,-0.004
Kiribati,2027,15,-0.004
Kiribati,2027,16,-0.004
Kiribati,2027,17,-0.006
Kiribati,2027,18,-0.009
Kiribati,2027,19,-0.011
Kiribati,2027,20,-0.013
Kiribati,2027,21,-0.015
Kiribati,2027,22,-0.016
Kiribati,2027,23,-0.016
Kiribati,2027,24,-0.016
Kiribati,2027,25,-0.015
Kiribati,2027,26,-0.015
Kiribati,2027,27,-0.013
Kiribati,2027,28,-0.013
Kiribati,2027,29,-0.011
Kiribati,2027,30,-0.011
Kiribati,2027,31,-0.01
Kiribati,2027,32,-0.009
Kiribati,2027,33,-0.008
Kiribati,2027,34,-0.007
Kiribati,2027,35,-0.007
Kiribati,2027,36,-0.006
Kiribati,2027,37,-0.006
Kiribati,2027,38,-0.005
Kiribati,2027,39,-0.005
Kiribati,2027,40,-0.004
Kiribati,2027,41,-0.004
Kiribati,2027,42,-0.004
Kiribati,2027,43,-0.004
Kiribati,2027,44,-0.004
Kiribati,2027,45,-0.003
Kiribati,2027,46,-0.003
Kiribati,2027,47,-0.002
Kiribati,2027,48,-0.002
Kiribati,2027,49,-0.002
Kiribati,2027,50,-0.002
Kiribati,2027,51,-0.002
Kiribati,2027,52,-0.002
Kiribati,2027,53,-0.002
Kiribati,2027,54,-0.002
Kiribati,2027,55,-0.002
Kiribati,2027,56,-0.002
Kiribati,2027,57,-0.002
Kiribati,2027,58,-0.002
Kiribati,2027,59,-0.002
Kiribati,2027,60,-0.002
Kiribati,2027,61,-0.002
Kiribati,2027,62,-0.002
Kiribati,2027,63,-0.002
Kiribati,2027,64,-0.002
Kiribati,2027,65,-0.002
Kiribati,2027,66,-0.002
Kiribati,2027,67,-0.002
Kiribati,2027,68,-0.002
Kiribati,2027,69,-0.002
Kiribati,2027,70,-0.002
Kiribati,2027,71,-0.002
Kiribati,2027,72,-0.002
Kiribati,2027,73,-0.002
Kiribati,2027,74,-0.002
Kiribati,2027,75,-0.002
Kiribati,2027,76,0
Kiribati,2027,77,0
Kiribati,2027,78,0
Kiribati,2027,79,0
Kiribati,2027,80,0
Kiribati,2027,81,0
Kiribati,2027,82,0
Kiribati,2027,83,0
Kiribati,2027,84,0
Kiribati,2027,85,0
Kiribati,2027,86,0
Kiribati,2027,87,0
Kiribati,2027,88,0
Kiribati,2027,89,0
Kiribati,2027,90,0
Kiribati,2027,91,0
Kiribati,2027,92,0
Kiribati,2027,93,0
Kiribati,2027,94,0
Kiribati,2027,95,0
Kiribati,2027,96,0
Kiribati,2027,97,0
Kiribati,2027,98,0
Kiribati,2027,99,0
Kiribati,2027,100,0
Kiribati,2028,0,-0.011
Kiribati,2028,1,-0.01
Kiribati,2028,2,-0.009
Kiribati,2028,3,-0.009
Kiribati,2028,4,-0.008
Kiribati,2028,5,-0.007
Kiribati,2028,6,-0.007
Kiribati,2028,7,-0.006
Kiribati,2028,8,-0.006
Kiribati,2028,9,-0.005
Kiribati,2028,10,-0.005
Kiribati,2028,11,-0.004
Kiribati,2028,12,-0.004
Kiribati,2028,13,-0.004
Kiribati,2028,14,-0.004
Kiribati,2028,15,-0.004
Kiribati,2028,16,-0.004
Kiribati,2028,17,-0.007
Kiribati,2028,18,-0.009
Kiribati,2028,19,-0.012
Kiribati,2028,20,-0.014
Kiribati,2028,21,-0.016
Kiribati,2028,22,-0.016
Kiribati,2028,23,-0.017
Kiribati,2028,24,-0.017
Kiribati,2028,25,-0.017
Kiribati,2028,26,-0.016
Kiribati,2028,27,-0.015
Kiribati,2028,28,-0.013
Kiribati,2028,29,-0.013
Kiribati,2028,30,-0.011
Kiribati,2028,31,-0.011
Kiribati,2028,32,-0.01
Kiribati,2028,33,-0.009
Kiribati,2028,34,-0.008
Kiribati,2028,35,-0.007
Kiribati,2028,36,-0.007
Kiribati,2028,37,-0.006
Kiribati,2028,38,-0.006
Kiribati,2028,39,-0.005
Kiribati,2028,40,-0.005
Kiribati,2028,41,-0.004
Kiribati,2028,42,-0.004
Kiribati,2028,43,-0.004
Kiribati,2028,44,-0.004
Kiribati,2028,45,-0.004
Kiribati,2028,46,-0.003
Kiribati,2028,47,-0.003
Kiribati,2028,48,-0.002
Kiribati,2028,49,-0.002
Kiribati,2028,50,-0.002
Kiribati,2028,51,-0.002
Kiribati,2028,52,-0.002
Kiribati,2028,53,-0.002
Kiribati,2028,54,-0.002
Kiribati,2028,55,-0.002
Kiribati,2028,56,-0.002
Kiribati,2028,57,-0.002
Kiribati,2028,58,-0.002
Kiribati,2028,59,-0.002
Kiribati,2028,60,-0.002
Kiribati,2028,61,-0.002
Kiribati,2028,62,-0.002
Kiribati,2028,63,-0.002
Kiribati,2028,64,-0.002
Kiribati,2028,65,-0.002
Kiribati,2028,66,-0.002
Kiribati,2028,67,-0.002
Kiribati,2028,68,-0.002
Kiribati,2028,69,-0.002
Kiribati,2028,70,-0.002
Kiribati,2028,71,-0.002
Kiribati,2028,72,-0.002
Kiribati,2028,73,-0.002
Kiribati,2028,74,-0.002
Kiribati,2028,75,-0.002
Kiribati,2028,76,0
Kiribati,2028,77,0
Kiribati,2028,78,0
Kiribati,2028,79,0
Kiribati,2028,80,0
Kiribati,2028,81,0
Kiribati,2028,82,0
Kiribati,2028,83,0
Kiribati,2028,84,0
Kiribati,2028,85,0
Kiribati,2028,86,0
Kiribati,2028,87,0
Kiribati,2028,88,0
Kiribati,2028,89,0
Kiribati,2028,90,0
Kiribati,2028,91,0
Kiribati,2028,92,0
Kiribati,2028,93,0
Kiribati,2028,94,0
Kiribati,2028,95,0
Kiribati,2028,96,0
Kiribati,2028,97,0
Kiribati,2028,98,0
Kiribati,2028,99,0
Kiribati,2028,100,0
Kiribati,2029,0,-0.011
Kiribati,2029,1,-0.009
Kiribati,2029,2,-0.009
Kiribati,2029,3,-0.008
Kiribati,2029,4,-0.007
Kiribati,2029,5,-0.007
Kiribati,2029,6,-0.006
Kiribati,2029,7,-0.006
Kiribati,2029,8,-0.005
Kiribati,2029,9,-0.005
Kiribati,2029,10,-0.004
Kiribati,2029,11,-0.004
Kiribati,2029,12,-0.004
Kiribati,2029,13,-0.004
Kiribati,2029,14,-0.004
Kiribati,2029,15,-0.004
Kiribati,2029,16,-0.004
Kiribati,2029,17,-0.006
Kiribati,2029,18,-0.009
Kiribati,2029,19,-0.011
Kiribati,2029,20,-0.014
Kiribati,2029,21,-0.015
Kiribati,2029,22,-0.016
Kiribati,2029,23,-0.016
Kiribati,2029,24,-0.016
Kiribati,2029,25,-0.016
Kiribati,2029,26,-0.015
Kiribati,2029,27,-0.014
Kiribati,2029,28,-0.013
Kiribati,2029,29,-0.013
Kiribati,2029,30,-0.011
Kiribati,2029,31,-0.01
Kiribati,2029,32,-0.009
Kiribati,2029,33,-0.009
Kiribati,2029,34,-0.008
Kiribati,2029,35,-0.007
Kiribati,2029,36,-0.006
Kiribati,2029,37,-0.006
Kiribati,2029,38,-0.005
Kiribati,2029,39,-0.005
Kiribati,2029,40,-0.004
Kiribati,2029,41,-0.004
Kiribati,2029,42,-0.004
Kiribati,2029,43,-0.004
Kiribati,2029,44,-0.004
Kiribati,2029,45,-0.003
Kiribati,2029,46,-0.003
Kiribati,2029,47,-0.002
Kiribati,2029,48,-0.002
Kiribati,2029,49,-0.002
Kiribati,2029,50,-0.002
Kiribati,2029,51,-0.002
Kiribati,2029,52,-0.002
Kiribati,2029,53,-0.002
Kiribati,2029,54,-0.002
